breed,image_path,Question,Answer,question_type
Afghan,train/Afghan/001.jpg,What unique challenges come with training a Afghan?,The Afghan is unique for its blend of gentle yet alert traits.,general
Afghan,train/Afghan/002.jpg,What makes a Afghan suitable for families?,"With its protective nature, the Afghan is suitable for large families.",suitability
Afghan,train/Afghan/003.jpg,How does the Afghan's coat affect its care needs?,"The Afghan is famous for its wiry coat, which is moderate grooming needs.",appearance
Afghan,train/Afghan/004.jpg,How does a Afghan perform in dog sports or work roles?,This breed is valued for its stamina and search and rescue.,performance
Afghan,train/Afghan/005.jpg,How does the Afghan interact with unfamiliar people and animals?,This breed stands out due to its gentle disposition and companionship.,general
Afghan,train/Afghan/006.jpg,What grooming requirements are specific to a Afghan?,This breed stands out due to its athletic prowess and companionship.,general
Afghan,train/Afghan/007.jpg,How does the Afghan's coat affect its care needs?,"This breed stands out due to its 15 inches, 80 lbs, and sharp muzzle.",appearance
Afghan,train/Afghan/008.jpg,What grooming requirements are specific to a Afghan?,Afghans are known for their endurance and unwavering loyalty.,general
Afghan,train/Afghan/009.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,Afghans are known for their loyalty and intuitive nature.,general
Afghan,train/Afghan/010.jpg,What grooming requirements are specific to a Afghan?,Afghans are known for their loyalty and playful energy.,general
Afghan,train/Afghan/011.jpg,How much exercise does a Afghan need daily?,Maintaining a Afghan involves light activity and frequent coat care.,care
Afghan,train/Afghan/012.jpg,What makes a Afghan suitable for families?,The Afghan is highly suitable for family life due to its protective instincts.,suitability
Afghan,train/Afghan/013.jpg,What grooming requirements are specific to a Afghan?,Afghans are known for their loyalty and unwavering loyalty.,general
Afghan,train/Afghan/014.jpg,How does the Afghan's temperament make it unique?,"This breed exhibits a stubborn personality, thriving in wide-open spaces.",temperament
Afghan,train/Afghan/015.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,Afghans are known for their endurance and unwavering loyalty.,general
Afghan,train/Afghan/016.jpg,What makes a Afghan suitable for families?,Afghans are good with children with children and in city apartments.,suitability
Afghan,train/Afghan/017.jpg,What makes a Afghan suitable for families?,Afghans are sensitive to strangers with children and in city apartments.,suitability
Afghan,train/Afghan/018.jpg,How does the Afghan interact with unfamiliar people and animals?,"A versatile breed, the Afghan combines courage with keen intelligence.",general
Afghan,train/Afghan/019.jpg,What unique challenges come with training a Afghan?,The Afghan is unique for its blend of athletic and loyal traits.,general
Afghan,train/Afghan/020.jpg,How does a Afghan perform in dog sports or work roles?,The Afghan excels in hunting expertise and is known for strength.,performance
Afghan,train/Afghan/021.jpg,What are the most recognizable personality traits of a Afghan?,"The Afghan is known for its playful nature, making it an excellent family pet.",temperament
Afghan,train/Afghan/022.jpg,How does the Afghan's temperament make it unique?,"Afghans are generally friendly, which makes them prefer quiet environments.",temperament
Afghan,train/Afghan/023.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,"A versatile breed, the Afghan combines gentleness with playful nature.",general
Afghan,train/Afghan/024.jpg,What unique challenges come with training a Afghan?,The Afghan is unique for its blend of athletic and loyal traits.,general
Afghan,train/Afghan/025.jpg,What grooming requirements are specific to a Afghan?,The Afghan is unique for its blend of agile and curious traits.,general
Afghan,train/Afghan/026.jpg,How does the Afghan interact with unfamiliar people and animals?,This breed stands out due to its athletic prowess and companionship.,general
Afghan,train/Afghan/027.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,The Afghan is unique for its blend of agile and curious traits.,general
Afghan,train/Afghan/028.jpg,What are the defining physical features of a Afghan?,Afghans are known for their intelligence and playful energy.,general
Afghan,train/Afghan/029.jpg,What makes a Afghan suitable for families?,This breed is an ideal family pet and thrives in active households.,suitability
Afghan,train/Afghan/030.jpg,What makes a Afghan suitable for families?,The Afghan is highly suitable for family life due to its playful demeanor.,suitability
Afghan,train/Afghan/031.jpg,What unique challenges come with training a Afghan?,This breed stands out due to its gentle disposition and companionship.,general
Afghan,train/Afghan/032.jpg,How much exercise does a Afghan need daily?,"To keep a Afghan in top shape, regular a mix of exercise and grooming is recommended.",care
Afghan,train/Afghan/033.jpg,How does a Afghan perform in dog sports or work roles?,The Afghan excels in hunting expertise and is known for endurance.,performance
Afghan,train/Afghan/034.jpg,What are the most recognizable personality traits of a Afghan?,"With a balanced disposition, the Afghan fits well with active owners.",temperament
Afghan,train/Afghan/035.jpg,What are the defining physical features of a Afghan?,This breed stands out due to its athletic prowess and companionship.,general
Afghan,train/Afghan/036.jpg,What are the most recognizable personality traits of a Afghan?,"With a calm and patient disposition, the Afghan fits well with experienced handlers.",temperament
Afghan,train/Afghan/037.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,This breed stands out due to its keen senses and tracking.,general
Afghan,train/Afghan/038.jpg,What are the historical origins of the Afghan breed?,Afghans have a legacy of village protection dating back to the 19th century.,history
Afghan,train/Afghan/039.jpg,How does the Afghan's temperament make it unique?,"With a balanced disposition, the Afghan fits well with families with children.",temperament
Afghan,train/Afghan/040.jpg,What are the defining physical features of a Afghan?,"A versatile breed, the Afghan combines courage with keen intelligence.",general
Afghan,train/Afghan/041.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,This breed stands out due to its athletic prowess and tracking.,general
Afghan,train/Afghan/042.jpg,What are the defining physical features of a Afghan?,This breed stands out due to its athletic prowess and guarding.,general
Afghan,train/Afghan/043.jpg,What are the defining physical features of a Afghan?,The Afghan is unique for its blend of agile and curious traits.,general
Afghan,train/Afghan/044.jpg,How much exercise does a Afghan need daily?,The Afghan requires intense activity and routine coat maintenance to stay healthy.,care
Afghan,train/Afghan/045.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,The Afghan is unique for its blend of gentle yet alert traits.,general
Afghan,train/Afghan/046.jpg,How does the Afghan interact with unfamiliar people and animals?,Afghans are known for their loyalty and unwavering loyalty.,general
Afghan,train/Afghan/047.jpg,How does a Afghan perform in dog sports or work roles?,"Historically, Afghans have performed well in tracking trials.",performance
Afghan,train/Afghan/048.jpg,What are the most recognizable personality traits of a Afghan?,"Afghans are generally reserved, which makes them adapt well to social settings.",temperament
Afghan,train/Afghan/049.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,"A versatile breed, the Afghan combines courage with keen intelligence.",general
Afghan,train/Afghan/050.jpg,What grooming requirements are specific to a Afghan?,"A versatile breed, the Afghan combines adaptability with strong instincts.",general
Afghan,train/Afghan/051.jpg,How does the Afghan interact with unfamiliar people and animals?,The Afghan is unique for its blend of agile and curious traits.,general
Afghan,train/Afghan/052.jpg,How does the Afghan interact with unfamiliar people and animals?,The Afghan is unique for its blend of gentle yet alert traits.,general
Afghan,train/Afghan/053.jpg,What are the most recognizable personality traits of a Afghan?,"The Afghan is known for its independent nature, making it better suited to experienced owners.",temperament
Afghan,train/Afghan/054.jpg,What are the most recognizable personality traits of a Afghan?,"Afghans are generally reserved, which makes them prefer quiet environments.",temperament
Afghan,train/Afghan/055.jpg,What are the defining physical features of a Afghan?,This breed stands out due to its athletic prowess and guarding.,general
Afghan,train/Afghan/056.jpg,How does a Afghan perform in dog sports or work roles?,The Afghan excels in hunting expertise and is known for strength.,performance
Afghan,train/Afghan/057.jpg,How does a Afghan perform in dog sports or work roles?,"With its sprint speed, the Afghan is suited for hunting tasks.",performance
